0319	Cabbages		Ingredient	pcs	0	0%	No	Active
0318	White Onions		Ingredient	kg	0	0%	No	Active
0317	Red Onions		Ingredient	kg	0	0%	No	Active
0316	Garlic		Ingredient	kg	0	0%	No	Active
0315	Capsicum		Ingredient	pcs	0	0%	No	Active
0314	White Soya Sauce		Ingredient	ml	0	0%	No	Active
0313	Dark Soya Sauce		Ingredient	L	0	0%	No	Active
0312	Vinegar		Ingredient	L	0	0%	No	Active
0311	Ketchup		Ingredient	L	0	0%	No	Active
0310	Tomato Paste		Ingredient	pcs	0	0%	No	Active
0309	PawPaw Fruit		Ingredient	pcs	0	0%	No	Active
0308	Watermelon Fruit		Ingredient	pcs	50000	0%	No	Active
0307	Mangoes		Ingredient	pcs	0	0%	No	Active
0306	Cinamon		Ingredient	kg	0	0%	No	Active
0305	Cardamon		Ingredient	kg	0	0%	No	Active
0304	Spagheti		Ingredient	pcs	0	0%	No	Active
0303	Lemon Tea		Herbal Tea	tea	0	0%	No	Active
0300	Jeex		NASHAAD LUNCH	kg	0	0%	No	Active
0299	Basbousa		Snacks	pcs	0	0%	No	Active
0298	Fanta (Yar)		Juices	pcs	0	0%	No	Active
0297	Mango sheek		Milk Shake Special	juices	0	0%	No	Active
0296	Hall rent for lunch		Service	pcs	0	0%	No	Active
0295	Dynamite (small)		Snacks	plates	0	0%	Yes	Active
0294	Crispy Fried Chicken		Snacks	plates	0	0%	Yes	Active
0293	Chicken Chips		Snacks	plates	5008	0%	Yes	Active
0292	Tufaax (Juice)		Juices	juices	0	0%	No	Active
0291	Cake (35)		Snacks	gram	0	0%	No	Active
0290	Tea leaves		Ingredient	gram	0	0%	No	Active
0289	Hamburger		Burgers	pcs	0	0%	Yes	Active
0288	Kabaab		Seafood(grill)	pcs	0	0%	No	Active
0287	Kafee Yare		Tea	cup	0	0%	No	Active
0286	Babaay Fruit		Extras	pcs	0	0%	No	Active
0285	Honeycomb		Snacks	pcs	0	0%	No	Active
0284	Mushakal		Juices	juices	580807	0%	No	Active
0283	Isbarmuuto		Juices	juices	0	0%	No	Active
0282	Saytuun		Juices	juices	0	0%	No	Active
0281	Beetroot		Juices	juices	0	0%	No	Active
0280	Fish		Ingredient	kg	0	0%	No	Active
0279	Boiled egg		Snacks	pcs	0	0%	Yes	Active
0278	Blueberry boba		Boba Drinks	cup	0	0%	No	Active
0277	Mango fruit tea boba		Boba Drinks	cup	0	0%	No	Active
0276	Vanilla milkshake		Boba Drinks	cup	0	0%	No	Active
0275	Chocolate milkshake boba		Boba Drinks	cup	0	0%	No	Active
