PROD_0107	Strawberry	Coladas	pcs	-	0	0.00	3.00	3.00	3.00	0%	-
PROD_0106	Pina Colada	Coladas	pcs	-	0	1.00	3.00	3.00	3.00	0%	-
PROD_0059	Veggie Currry	Curries	pcs	-	0	0.00	5.50	5.50	5.50	0%	-
PROD_0058	Fish Curry	Curries	pcs	-	0	0.00	6.00	6.00	6.00	0%	-
PROD_0057	Chicken Curry	Curries	pcs	-	0	0.00	7.00	7.00	7.00	0%	-
PROD_0056	Beef Curry	Curries	pcs	-	0	0.00	5.50	5.50	5.50	0%	-
PROD_0122	Ginger/Honey/Lemon	Dawa	pcs	-	0	0.00	1.00	1.00	1.00	0%	-
PROD_0121	Ginger/Honey/Lemon(Iced Tea)	Dawa	pcs	-	0	0.00	1.50	1.50	1.50	0%	-
0441	AC	Extras		138	0	0.00	10.00	10.00	10.00	0%	-
0439	Candle/Shumac	Extras	pcs	149	0	0.00	0.50	0.50	0.50	0%	-
0436	Extra Cheese	Extras	pcs	64	0	0.00	0.50	0.50	0.50	0%	2000-01-01
0422	Sareen Saldaato Esbeshaale	Extras	plates	148	0	0.00	3.00	3.00	3.00	0%	2000-01-01
0286	Babaay Fruit	Extras	pcs	19467	0	0.00	2.00	2.00	2.00	0%	2000-01-01
0261	SPECIAL sareen	Extras	plates	-	0	0.00	2.00	2.00	2.00	0%	-
0259	WATER	Extras	tea	-	0	0.00	0.25	0.25	0.25	0%	-
0231	miik 1	Extras	pcs	20	0	0.00	0.00	0.00	0.00	0%	-
0222	koosto 1	Extras	pcs	-	0	2.00	2.00	2.00	2.00	0%	-
0221	koosto	Extras	pcs	-	0	0.00	0.00	0.00	0.00	0%	-
0220	ugali calooley	Extras	pcs	-	0	0.00	2.00	2.00	2.00	0%	-
0189	Malawah (Malawax)	Extras	pcs	1988230	0	0.00	0.50	0.50	0.50	0%	-
PROD_0125	Tea Chocolate	Extras	tea	-	0	0.00	1.50	1.50	1.50	0%	-
PROD_0091	Banana(Moos)	Extras	pcs	-	0	0.00	0.25	0.25	0.25	0%	-
PROD_0090	Honey	Extras	pcs	-	0	0.00	1.00	1.00	1.00	0%	-
PROD_0089	Yoghurt	Extras	pcs	-	0	0.00	1.00	1.00	1.00	0%	-
PROD_0088	Milk	Extras	pcs	-	0	0.00	1.00	1.00	1.00	0%	-
PROD_0085	Steamed Spinanch	Extras	pcs	-	0	0.00	1.00	1.00	1.00	0%	-
PROD_0084	Steamed Veges	Extras	pcs	-	0	0.00	1.50	1.50	1.50	0%	-
PROD_0083	Rice	Extras	pcs	-	0	0.00	1.00	1.00	1.00	0%	-
0462	Stewed Fish	Fish	plates	49999934	50000	6.00	6.00	6.00	6.00	0%	-
0456	Biryani Fish	Fish	plates	145	0	0.00	4.00	4.00	4.00	0%	-
0454	Coconut Chicken	Fish	plates	19990	0	0.00	7.00	7.00	7.00	0%	-
0354	Tuna cans	Fish	package	0	0	0.00	0.00	0.00	0.00	0%	-
0201	Biryani Rice	Fish	plates	-	0	0.00	2.00	2.00	2.00	0%	-
0194	Shawarma Fish	Fish	pcs	-	0	3.00	3.00	3.00	3.00	0%	-
PROD_0061	Fish Fingers	Fish	pcs	-	0	6.00	6.00	6.00	6.00	0%	-
PROD_0011	Fish Tikka	Fish	pcs	-	0	0.00	5.50	5.50	5.50	0%	-
PROD_0010	Smoked Salmon	Fish	pcs	-	0	0.00	5.50	5.50	5.50	0%	-
PROD_0009	Grilled Fish	Fish	pcs	17108	9000000	0.00	6.00	6.00	6.00	0%	-
PROD_0133	Chocolate	Freak Sake	pcs	-	0	0.00	2.50	2.50	2.50	0%	-
PROD_0132	Vanilla	Freak Sake	pcs	-	0	0.00	3.50	3.50	3.50	0%	-
PROD_0131	Strawberry	Freak Sake	pcs	-	0	0.00	3.50	3.50	3.50	0%	-
